"State","Grade","Subject","Percentile","Score.2024","Score.2022","Score.2019","Score.Change","percentiletest","percentilesignificant","gaptest","gapsignificant"
"Iowa",4,"Mathematics",50,240.120499420166,242.094499969482,242.720500183106,-2.60000076294,"x
Diff = -3
P-value = 0.2018",0,"x
Diff = -5
P-value = 0.2602",0
"Iowa",4,"Mathematics",75,260.164999389649,261.113500976563,262.422499084473,-2.25749969482399,"x
Diff = -2
P-value = 0.1009",0,"x
Diff = -5
P-value = 0.2602",0
"Iowa",4,"Mathematics",90,276.885496520996,278.190997314453,279.150498962402,-2.26500244140601,"x
Diff = -2
P-value = 0.2090",0,"x
Diff = -5
P-value = 0.2602",0
"Kansas",4,"Mathematics",10,190.872500610352,192.164501190186,198.004500579834,-7.131999969482,"<
Diff = -7
P-value = 0.0138",1,"x
Diff = -7
P-value = 0.2030",0
"Kansas",4,"Mathematics",25,215.373999023437,213.606499481201,218.860498046875,-3.486499023438,"x
Diff = -3
P-value = 0.2858",0,"x
Diff = -7
P-value = 0.2030",0
"Kansas",4,"Mathematics",50,240.57250213623,236.585000610352,241.287500762939,-0.71499862670899,"x
Diff = -1
P-value = 0.6961",0,"x
Diff = -7
P-value = 0.2030",0
"Kansas",4,"Mathematics",75,261.289501953125,257.728497314453,261.766999816894,-0.477497863768974,"x
Diff = 0
P-value = 0.7491",0,"x
Diff = -7
P-value = 0.2030",0
"Kansas",4,"Mathematics",90,278.063999938965,276.322000122071,278.256498718262,-0.192498779296955,"x
Diff = 0
P-value = 0.9422",0,"x
Diff = -7
P-value = 0.2030",0
"Kentucky",4,"Mathematics",10,195.37799911499,191.84949798584,198.116000366211,-2.73800125122102,"x
Diff = -3
P-value = 0.3851",0,"x
Diff = -1
P-value = 0.8031",0
"Kentucky",4,"Mathematics",25,217.779499816895,214.076500701904,220.702500915527,-2.923001098632,"x
Diff = -3
P-value = 0.1629",0,"x
Diff = -1
P-value = 0.8031",0
"Kentucky",4,"Mathematics",50,240.228499603272,235.533000946045,241.495500183106,-1.26700057983399,"x
Diff = -1
P-value = 0.5575",0,"x
Diff = -1
P-value = 0.8031",0
"Kentucky",4,"Mathematics",75,259.772500610352,255.538500213623,260.779000854492,-1.00650024414,"x
Diff = -1
P-value = 0.6168",0,"x
Diff = -1
P-value = 0.8031",0
"Kentucky",4,"Mathematics",90,275.806500244141,272.917498779297,277.176498413086,-1.36999816894502,"x
Diff = -1
P-value = 0.5532",0,"x
Diff = -1
P-value = 0.8031",0
"Louisiana",4,"Mathematics",10,190.654001617432,185.10299987793,191.088498687744,-0.434497070312005,"x
Diff = 0
P-value = 0.9125",0,"x
Diff = -5
P-value = 0.3957",0
"Louisiana",4,"Mathematics",25,213.981999206543,207.54049987793,212.340000915527,1.64199829101599,"x
Diff = 2
P-value = 0.5967",0,"x
Diff = -5
P-value = 0.3957",0
"Louisiana",4,"Mathematics",50,237.180999755859,230.879000091553,233.605000305176,3.57599945068301,"x
Diff = 4
P-value = 0.0719",0,"x
Diff = -5
P-value = 0.3957",0
"Louisiana",4,"Mathematics",75,257.244003295899,250.787998962402,252.020500946045,5.22350234985402,">
Diff = 5
P-value = 0.0385",1,"x
Diff = -5
P-value = 0.3957",0
"Louisiana",4,"Mathematics",90,273.100498962402,268.423999023437,268.15950012207,4.94099884033199,">
Diff = 5
P-value = 0.0221",1,"x
Diff = -5
P-value = 0.3957",0
"Maine",4,"Mathematics",10,188.895499420166,190.352499389648,199.280500793457,-10.385001373291,"<
Diff = -10
P-value = 0.0039",1,"x
Diff = -6
P-value = 0.3374",0
"Maine",4,"Mathematics",25,212.030500030518,213.958499145508,221.334000396728,-9.30350036620999,"<
Diff = -9
P-value = 0.0000",1,"x
Diff = -6
P-value = 0.3374",0
"Maine",4,"Mathematics",50,235.105500030518,235.911000061035,242.780001068115,-7.67450103759703,"<
Diff = -8
P-value = 0.0004",1,"x
Diff = -6
P-value = 0.3374",0
"Maine",4,"Mathematics",75,255.792001342773,254.463998413086,262.377500915528,-6.585499572755,"<
Diff = -7
P-value = 0.0009",1,"x
Diff = -6
P-value = 0.3374",0
"Maine",4,"Mathematics",90,274.194999694824,271.007502746582,278.83699798584,-4.64199829101602,"x
Diff = -5
P-value = 0.0601",0,"x
Diff = -6
P-value = 0.3374",0
"Maryland",4,"Mathematics",10,181.670000457764,178.054497528076,192.150500488281,-10.480500030517,"<
Diff = -10
P-value = 0.0042",1,"x
Diff = -10
P-value = 0.1203",0
"Maryland",4,"Mathematics",25,207.427500152588,202.507999420166,215.018997955322,-7.59149780273398,"<
Diff = -8
P-value = 0.0006",1,"x
Diff = -10
P-value = 0.1203",0
"Maryland",4,"Mathematics",50,236.331999206543,229.842501068115,239.451999664307,-3.12000045776401,"x
Diff = -3
P-value = 0.2497",0,"x
Diff = -10
P-value = 0.1203",0
"Maryland",4,"Mathematics",75,262.066497802735,255.604999542236,262.93699798584,-0.87050018310498,"x
Diff = -1
P-value = 0.6072",0,"x
Diff = -10
P-value = 0.1203",0
"Maryland",4,"Mathematics",90,283.167999267578,276.566998291016,283.781001281738,-0.613002014159974,"x
Diff = -1
P-value = 0.8260",0,"x
Diff = -10
P-value = 0.1203",0
"Massachusetts",4,"Mathematics",10,197.617499542236,197.979501342773,205.325,-7.70750045776398,"<
Diff = -8
P-value = 0.0330",1,"x
Diff = -10
P-value = 0.0955",0
"Massachusetts",4,"Mathematics",25,224.206500244141,219.091000366211,226.949001312256,-2.74250106811499,"x
Diff = -3
P-value = 0.3128",0,"x
Diff = -10
P-value = 0.0955",0
"Massachusetts",4,"Mathematics",50,249.957999420166,243.173501586914,249.121999359131,0.836000061035008,"x
Diff = 1
P-value = 0.6209",0,"x
Diff = -10
P-value = 0.0955",0
"Massachusetts",4,"Mathematics",75,270.841494750977,264.503497314453,269.452001953125,1.38949279785203,"x
Diff = 1
P-value = 0.5260",0,"x
Diff = -10
P-value = 0.0955",0
"Massachusetts",4,"Mathematics",90,289.229498291016,283.206001281738,286.679000854492,2.55049743652398,"x
Diff = 3
P-value = 0.3132",0,"x
Diff = -10
P-value = 0.0955",0
"Michigan",4,"Mathematics",10,188.31549987793,186.914000701904,194.416500091553,-6.101000213623,"<
Diff = -6
P-value = 0.0305",1,"x
Diff = -7
P-value = 0.1732",0
"Michigan",4,"Mathematics",25,212.725998687744,209.017000579834,215.299499511719,-2.573500823975,"x
Diff = -3
P-value = 0.2588",0,"x
Diff = -7
P-value = 0.1732",0
"Michigan",4,"Mathematics",50,237.645500183106,234.412998962402,237.372499084473,0.273001098633017,"x
Diff = 0
P-value = 0.8850",0,"x
Diff = -7
P-value = 0.1732",0
"Michigan",4,"Mathematics",75,259.754002380371,255.438499450684,258.183001708984,1.57100067138697,"x
Diff = 2
P-value = 0.4524",0,"x
Diff = -7
P-value = 0.1732",0
"Michigan",4,"Mathematics",90,277.07200012207,274.401504516602,275.702000427246,1.369999694824,"x
Diff = 1
P-value = 0.6301",0,"x
Diff = -7
P-value = 0.1732",0
"Minnesota",4,"Mathematics",10,190.835501098633,192.367501068115,204.24400100708,-13.408499908447,"<
Diff = -13
P-value = 0.0006",1,"x
Diff = -10
P-value = 0.1281",0
"Minnesota",4,"Mathematics",25,218.421501159668,217.375499725342,228.446500396729,-10.024999237061,"<
Diff = -10
P-value = 0.0000",1,"x
Diff = -10
P-value = 0.1281",0
"Minnesota",4,"Mathematics",50,244.463501739502,241.174501800537,251.329499053955,-6.86599731445301,"<
Diff = -7
P-value = 0.0012",1,"x
Diff = -10
P-value = 0.1281",0
"Minnesota",4,"Mathematics",75,266.086996459961,263.002499389649,271.363999938965,-5.27700347900395,"<
Diff = -5
P-value = 0.0178",1,"x
Diff = -10
P-value = 0.1281",0
"Minnesota",4,"Mathematics",90,283.971997070313,281.2375,287.601002502441,-3.629005432128,"x
Diff = -4
P-value = 0.1612",0,"x
Diff = -10
P-value = 0.1281",0
"Mississippi",4,"Mathematics",10,202.086502075195,194.066498565674,205.954000854492,-3.86749877929699,"x
Diff = -4
P-value = 0.2356",0,"x
Diff = -3
P-value = 0.5028",0
"Mississippi",4,"Mathematics",25,220.674498748779,213.155500030518,223.034001159668,-2.35950241088901,"x
Diff = -2
P-value = 0.2359",0,"x
Diff = -3
P-value = 0.5028",0
"Mississippi",4,"Mathematics",50,240.356999969483,235.021499633789,241.513001251221,-1.15600128173799,"x
Diff = -1
P-value = 0.4633",0,"x
Diff = -3
P-value = 0.5028",0
"Mississippi",4,"Mathematics",75,258.905996704102,254.786000061035,258.934498596191,-0.0285018920890252,"x
Diff = 0
P-value = 0.9855",0,"x
Diff = -3
P-value = 0.5028",0
"Mississippi",4,"Mathematics",90,274.3125,271.136000061035,274.721000671387,-0.408500671387003,"x
Diff = 0
P-value = 0.8103",0,"x
Diff = -3
P-value = 0.5028",0
"Missouri",4,"Mathematics",10,190.091499328613,184.560498046875,196.653500366211,-6.56200103759801,"<
Diff = -7
P-value = 0.0400",1,"x
Diff = -6
P-value = 0.3347",0
"Missouri",4,"Mathematics",25,213.801499176025,210.108501434326,219.445999908447,-5.64450073242199,"<
Diff = -6
P-value = 0.0035",1,"x
Diff = -6
P-value = 0.3347",0
"Missouri",4,"Mathematics",50,237.798999023438,235.338999938965,240.714000701904,-2.91500167846601,"x
Diff = -3
P-value = 0.2221",0,"x
Diff = -6
P-value = 0.3347",0
"Missouri",4,"Mathematics",75,259.016497802734,257.127499389649,260.508499145508,-1.49200134277396,"x
Diff = -1
P-value = 0.4833",0,"x
Diff = -6
P-value = 0.3347",0
"Missouri",4,"Mathematics",90,275.678500366211,274.383499145508,276.691500854492,-1.01300048828102,"x
Diff = -1
P-value = 0.6996",0,"x
Diff = -6
P-value = 0.3347",0
"Montana",4,"Mathematics",10,193.343999481201,198.975499725342,200.994502258301,-7.6505027771,"x
Diff = -8
P-value = 0.1474",0,"x
Diff = -10
P-value = 0.2385",0
"Montana",4,"Mathematics",25,217.858499908447,220.031500244141,223.013999176025,-5.15549926757802,"<
Diff = -5
P-value = 0.0025",1,"x
Diff = -10
P-value = 0.2385",0
"Montana",4,"Mathematics",50,241.477001190186,240.462999725342,243.693500518799,-2.216499328613,"x
Diff = -2
P-value = 0.1732",0,"x
Diff = -10
P-value = 0.2385",0
"Montana",4,"Mathematics",75,261.577998352051,258.983000183106,261.668997192383,-0.0909988403320199,"x
Diff = 0
P-value = 0.9609",0,"x
Diff = -10
P-value = 0.2385",0
"Montana",4,"Mathematics",90,279.112496948242,275.340000915527,277.095001220703,2.01749572753897,"x
Diff = 2
P-value = 0.4215",0,"x
Diff = -10
P-value = 0.2385",0
"National",4,"Mathematics",10,190.965998077393,191.531000518799,198.929501342774,-7.96350326538098,"<
Diff = -8
P-value = 0.0000",1,"<
Diff = -8
P-value = 0.0000",1
"National",4,"Mathematics",25,215.29400100708,214.128499603272,220.472998809814,-5.17899780273399,"<
Diff = -5
P-value = 0.0000",1,"<
Diff = -8
P-value = 0.0000",1
"National",4,"Mathematics",50,240.039500427246,237.622999572754,242.123498535156,-2.08399810790999,"<
Diff = -2
P-value = 0.0000",1,"<
Diff = -8
P-value = 0.0000",1
"National",4,"Mathematics",75,261.796002197266,259.095999145508,262.338500976563,-0.542498779297034,"x
Diff = -1
P-value = 0.3057",0,"<
Diff = -8
P-value = 0.0000",1
"National",4,"Mathematics",90,279.712998962402,277.565000915527,279.794996643067,-0.0819976806649834,"x
Diff = 0
P-value = 0.8685",0,"<
Diff = -8
P-value = 0.0000",1
"Nebraska",4,"Mathematics",10,193.321501159668,197.108500671387,203.163000488281,-9.841499328613,"<
Diff = -10
P-value = 0.0396",1,"x
Diff = -6
P-value = 0.3918",0
"Nebraska",4,"Mathematics",25,217.785000610352,220.467499542236,225.272999572754,-7.487998962402,"<
Diff = -7
P-value = 0.0000",1,"x
Diff = -6
P-value = 0.3918",0
"Nebraska",4,"Mathematics",50,240.952001190186,243.438000488281,245.704998016357,-4.752996826171,"<
Diff = -5
P-value = 0.0087",1,"x
Diff = -6
P-value = 0.3918",0
"Nebraska",4,"Mathematics",75,261.17250213623,264.529002380371,265.066500854492,-3.89399871826203,"<
Diff = -4
P-value = 0.0248",1,"x
Diff = -6
P-value = 0.3918",0
"Nebraska",4,"Mathematics",90,278.025500488281,282.353498840332,281.623999023437,-3.59849853515601,"x
Diff = -4
P-value = 0.0976",0,"x
Diff = -6
P-value = 0.3918",0
